startTime time open high low close volume
1650931200000 1651017599999 100.98 101.98 94.61 95.7 1897735.14
1651017600000 1651103999999 95.7 100.79 94.89 98.36 1833742.63
1651104000000 1651190399999 98.35 100.55 96.33 98.24 1849394.04
1651190400000 1651276799999 98.23 98.68 92.35 93.96 1736234.87
1651276800000 1651363199999 93.96 94.95 81.91 84.63 1829537.27
1651363200000 1651449599999 84.63 93.12 84.15 89.68 2353897.93
1651449600000 1651535999999 89.67 90.89 85.1 87.5 1915805.97
1651536000000 1651622399999 87.49 88.81 84.66 85.86 1562366.45
1651622400000 1651708799999 85.86 93.06 85.47 92.77 2246070.16
1651708800000 1651795199999 92.77 95.25 81.32 84.52 3311421.92
1651795200000 1651881599999 84.52 84.84 79.98 81.68 2607225.81
1651881600000 1651967999999 81.67 82.33 77.03 78.86 1906773.25
1651968000000 1652054399999 78.86 79.41 73.69 75.38 2736836.4
1652054400000 1652140799999 75.39 77.21 61.7 62.16 5846036.682
1652140800000 1652227199999 62.16 74.03 60.13 66.9 7855041.331
1652227200000 1652313599999 66.9 68.44 43.17 50.9 11626123.021
1652313600000 1652399999999 50.9 54.29 37.37 44.64 13635820.465
1652400000000 1652486399999 44.64 56.99 43.83 48.92 8718594.5
1652486400000 1652572799999 48.93 53.91 45.81 52.43 5099487.21
1652572800000 1652659199999 52.43 59.31 49.63 58.83 3885558.77
1652659200000 1652745599999 58.83 58.83 51.89 53.79 5418221.63
1652745600000 1652831999999 53.8 58.22 53.04 57.02 4346066.59
1652832000000 1652918399999 57.01 57.85 49.38 49.93 4470848.03
1652918400000 1653004799999 49.93 54.09 48.2 52.2 4794335.94
1653004800000 1653091199999 52.2 53.62 47.81 49.43 4811635.67
1653091200000 1653177599999 49.42 51.21 48.43 50.31 1969104.94
1653177600000 1653263999999 50.3 53.2 49.69 52.48 2723718.45
1653264000000 1653350399999 52.48 54.68 48.61 49.17 4201654.88
1653350400000 1653436799999 49.17 50.85 47.1 49.67 3645448.65
1653436800000 1653523199999 49.67 50.55 47.57 47.98 3294918.76
1653523200000 1653609599999 47.97 48.66 41.69 43.44 7025986.74
1653609600000 1653695999999 43.44 43.95 39.93 41.17 7547814.8
1653696000000 1653782399999 41.18 45.08 40.33 44.25 4317517.06
1653782400000 1653868799999 44.24 45.67 41.79 44.98 4628871.1
1653868800000 1653955199999 44.98 48.39 44.27 47.22 5476313.14
1653955200000 1654041599999 47.22 48.24 44.56 45.77 4479536.73
1654041600000 1654127999999 45.78 46.12 39.51 40.11 4778696.94
1654128000000 1654214399999 40.11 41.65 38.13 40.85 5153870.27
1654214400000 1654300799999 40.86 41.54 37.63 38.28 4437324.64
1654300800000 1654387199999 38.28 39.5 35.71 39 3736176.79
1654387200000 1654473599999 39.02 40.22 37.85 38.52 3618511.38
1654473600000 1654559999999 38.53 44.87 38.33 42.39 6823258.3
1654560000000 1654646399999 42.39 42.8 37.12 39.31 7677286.83
1654646400000 1654732799999 39.32 40.96 38.28 38.83 3988154.3
1654732800000 1654819199999 38.83 41.97 38.44 39.96 4587327.75
1654819200000 1654905599999 39.96 40.9 36.8 37.17 4364643.34
1654905600000 1654991999999 37.17 37.93 33.17 33.93 4638154.317
1654992000000 1655078399999 33.94 34.5 30.56 30.61 6810748.104
1655078400000 1655164799999 30.6 31.11 26.05 28.6 13336972.466
1655164800000 1655251199999 28.59 32.32 25.86 29.59 11437619.27
1655251200000 1655337599999 29.59 34.86 26.79 34.76 12673444.09
1655337600000 1655423999999 34.75 36 29.52 30.12 10418712.66
1655424000000 1655510399999 30.12 32.19 29.26 30.71 6274370.5
1655510400000 1655596799999 30.72 32.06 27.15 32.02 9330644.34
1655596800000 1655683199999 32.01 35.4 28.68 34.19 9253122.78
1655683200000 1655769599999 34.19 36.9 31.73 35.24 8218146.8
1655769600000 1655855999999 35.25 39.19 34.2 36.42 7429098.76
1655856000000 1655942399999 36.42 36.87 33.65 34.12 6494707.01
1655942400000 1656028799999 34.13 38.65 33.91 38.15 7002610.45
1656028800000 1656115199999 38.15 42.92 37.67 41.91 6583046.23
1656115200000 1656201599999 41.91 42.64 39.73 42.22 4294211.07
1656201600000 1656287999999 42.22 42.49 39.14 39.39 4024143.84
1656288000000 1656374399999 39.39 41.25 37.9 38.52 4172937.4
1656374400000 1656460799999 38.5 39.9 35.02 35.35 5581335.85
1656460800000 1656547199999 35.34 36.12 33.1 34.05 5755278.44
1656547200000 1656633599999 34.06 34.2 30.92 33.76 5337105.46
1656633600000 1656719999999 33.76 35.4 31.82 32.84 6155756.76
1656720000000 1656806399999 32.85 34.14 31.87 33.36 2740500.19
1656806400000 1656892799999 33.36 33.77 32.14 33.39 2394572.39
1656892800000 1656979199999 33.4 36.94 32.45 36.71 4064615.13
1656979200000 1657065599999 36.71 36.99 33.03 35.4 6098472.04
1657065600000 1657151999999 35.41 37.65 34.8 37.04 5298552.9
1657152000000 1657238399999 37.04 39.29 36.39 38.46 4091777.28
1657238400000 1657324799999 38.46 39.72 36.46 38.12 5277992.76
1657324800000 1657411199999 38.12 38.95 37.77 38.06 2088073.86
1657411200000 1657497599999 38.06 38.14 36.26 36.71 2181587.6
1657497600000 1657583999999 36.71 36.73 33.24 33.42 2927967.37
1657584000000 1657670399999 33.42 34.61 32.6 32.68 3202970.4
1657670400000 1657756799999 32.69 35.08 31.82 34.94 4798032.13
1657756800000 1657843199999 34.94 37.31 33.58 37.15 5214767.02
1657843200000 1657929599999 37.14 39.1 36.49 37.36 4440629.04
1657929600000 1658015999999 37.36 40.41 36.35 39.58 3945225.2
1658016000000 1658102399999 39.59 41.09 38.29 38.62 3795951.41
1658102400000 1658188799999 38.61 44.07 38.55 43.52 6300282.95
1658188800000 1658275199999 43.52 47.36 42.54 44.87 7876651.82
1658275200000 1658361599999 44.87 46.3 41.24 42.04 6380441.74
1658361600000 1658447999999 42.03 44.24 39.64 43.11 6134099.29
1658448000000 1658534399999 43.1 44.33 40.03 40.54 4495729.55
1658534400000 1658620799999 40.54 41.91 38.6 39.97 3421971.49
1658620800000 1658707199999 39.97 42.1 39.47 40.93 3327219.47
1658707200000 1658793599999 40.93 41.09 36.56 36.65 4237919.99
1658793600000 1658879999999 36.66 36.84 34.67 36.25 4496178.57
1658880000000 1658966399999 36.26 40.55 35.68 40.23 5860676.17
1658966400000 1659052799999 40.23 44.15 39.03 42.91 6754342.15
1659052800000 1659139199999 42.92 44.42 41.13 41.91 4949319.15
1659139200000 1659225599999 41.92 46.65 41.41 43.84 5388479.3
1659225600000 1659311999999 43.84 45.21 42.22 42.35 3287571.37
1659312000000 1659398399999 42.34 43.26 40.57 41.65 3302835.44
1659398400000 1659484799999 41.65 42.45 39.5 39.79 3598240.96
1659484800000 1659571199999 39.78 40.99 37.43 38.54 8391441.54
1659571200000 1659657599999 38.54 39.85 37.96 38.83 4151096.9
1659657600000 1659743999999 38.83 41.33 38.71 40.55 3510687.91
1659744000000 1659830399999 40.55 40.89 39.85 40.07 1600652
1659830400000 1659916799999 40.07 41.57 39.21 40.6 1745897.7
1659916800000 1660003199999 40.6 43.71 40.55 42.18 3823749.6
1660003200000 1660089599999 42.17 42.76 39.73 40.33 2832475.74
1660089600000 1660175999999 40.34 42.87 39.15 42.47 4467794.94
1660176000000 1660262399999 42.47 45.32 42.34 42.77 5808859.44
1660262400000 1660348799999 42.78 45.49 42.12 45.48 3376989.68
1660348800000 1660435199999 45.49 48.38 45.27 46.6 4706648.94
1660435200000 1660521599999 46.59 48.06 44.46 44.87 3476179.16
1660521600000 1660607999999 44.86 47.24 42.75 43.72 4145114.74
